Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
"Рулонная плёнка для ламинирования Bulros (305 мм х 200 м) 25 мкм глянцевая, втулка 25 мм, двухслойная PET12/EVA13",https://www.ozon.ru/product/787574938,1digital,Bulros,Электроника,Пленка для ламинирования,Super,33580,795,18,1866,1820,100,0,28 из 28,65 ч,785,1,6,FBS,2.2,1098,332,73,1.64,0.9,5.47,5.6,94,17 из 28,0 из 28,0,2022-11-11
"Плёнка Bulros 70х100 мм, 125 мкм для ламинирования пакетная глянцевая, 100 шт.",https://www.ozon.ru/product/792955536,1digital,Bulros,Электроника,Пленка для ламинирования,,4736,7,8,592,592,100,0,14 из 28,44 ч,125,0,46,FBS,0.2,458,194,13,1.75,0,15.38,0,0,1 из 28,0 из 28,0,2022-11-16
"Плёнка Bulros 70х100 мм, 200 мкм, для ламинирования глянцевая, 100 шт.",https://www.ozon.ru/product/793240482,1digital,Bulros,Электроника,Пленка для ламинирования,,1182,Нет данных,2,591,591,100,0,28 из 28,60 ч,27,0,0,FBS,0.4,267,138,10,0.75,0,20,3.1,100,17 из 28,0 из 28,0,2022-11-16
"Плёнка Bulros 85х120 мм, 250 мкм, для ламинирования глянцевая, 100 шт.",https://www.ozon.ru/product/797035828,1digital,Bulros,Электроника,Пленка для ламинирования,,6940,231,10,694,694,Нет данных,0,28 из 28,45 ч,194,0,40,FBS,0.7,314,207,7,3.19,0,14.28,11.5,100,28 из 28,0 из 28,0,2022-11-19
"Пленка МАТОВАЯ для ламинирования Office Kit, в уп. 100 шт.",https://www.ozon.ru/product/798395343,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,14099,-35,5,2820,2218,100,0,17 из 28,54 ч,352,0,0,"FBO,FBS",3,1920,261,305,0.26,0,3.6,17.7,76.5,14 из 28,0 из 28,0,2022-11-21
"Пленка МАТОВАЯ для ламинирования Office Kit, в уп. 100 шт.",https://www.ozon.ru/product/798398845,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,147792,117,127,1164,949,96.8,0,27 из 28,54 ч,3410,5,20,"FBO,FBS",1.5,11118,1624,1134,1.14,1.23,11.28,14.6,54.9,14 из 28,0 из 28,0,2022-11-21
"Пленка МАТОВАЯ для ламинирования Office Kit, в уп. 100 шт.",https://www.ozon.ru/product/798402443,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,3335,10,1,3335,3335,100,0,28 из 28,60 ч,75,0,9,FBS,3,1085,136,245,0.09,0,3.26,0,0,14 из 28,0 из 28,0,2022-11-21
"Пленка МАТОВАЯ для ламинирования Office Kit, в уп. 100 шт.",https://www.ozon.ru/product/798408759,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Super; Топ-50% по продажам,112680,-37,81,1391,1079,93.5,0,21 из 28,41 ч,2639,3,20,"FBO,FBS",1.4,36628,6572,1466,0.22,0.39,9.07,15.5,69.5,16 из 28,0 из 28,36.4,2022-11-21
"Пленка МАТОВАЯ для ламинирования Office Kit, в уп. 100 шт.",https://www.ozon.ru/product/799321970,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,3790,-58,1,3790,3790,100,0,28 из 28,0 ч,97,0,49,FBS,4.6,1263,143,343,0.08,0,0.29,15.7,100,14 из 28,0 из 28,0,2022-11-22
"Пленка для ламинирования Office Kit формат А4, в уп. 100 шт.",https://www.ozon.ru/product/799584264,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,Super,49215,65,33,1491,1279,96,0,26 из 28,60 ч,1209,1,10,"FBO,FBS",4.6,8346,924,1861,0.4,0.54,3.54,36.8,73.8,14 из 28,0 из 28,0,2022-11-22
"Плёнка матовая Bulros A5, 75 мкм, для ламинирования пакетная, 100 шт (154х216 мм)",https://www.ozon.ru/product/799691009,1digital,Bulros,Электроника,Пленка для ламинирования,,2670,6,2,1335,1335,50,0,28 из 28,45 ч,32,0,50,FBS,0.7,439,231,14,0.46,0.43,7.14,6.7,100,28 из 28,0 из 28,0,2022-11-22
"Плёнка Bulros A7 (80х110 мм) 200 мкм, для ламинирования глянцевая, 100 шт.",https://www.ozon.ru/product/800860464,1digital,Bulros,Электроника,Пленка для ламинирования,,1232,100,2,616,616,100,0,28 из 28,45 ч,31,0,48,FBS,0.4,189,124,5,1.06,0,20,10.9,100,28 из 28,0 из 28,0,2022-11-23
"Рулонная плёнка для ламинирования Bulros (510 мм х 100 м) 125 мкм глянцевая, втулка 25 мм, трехслойная PET 75/PE20/EVA30",https://www.ozon.ru/product/802128468,1digital,Bulros,Электроника,Пленка для ламинирования,Super; Лидер по продажам,39307,Нет данных,7,5615,5600,100,0,14 из 28,56 ч,1354,0,22,FBS,7.8,304,135,18,2.3,0.74,11.11,0,0,11 из 28,0 из 28,0,2022-11-24
Набор пленки для ламинирования DeVente 80мКм 100 штук,https://www.ozon.ru/product/814091573,Роллер,deVENTE,Электроника,Пленка для ламинирования,,6291,80,9,699,699,100,0,28 из 28,66 ч,149,0,15,FBS,1.1,1983,489,83,0.45,1.02,12.04,0,0,0 из 28,0 из 28,0,2022-12-08
Набор пленки для ламинирования DeVente 100 мКм 100 штук,https://www.ozon.ru/product/814091574,Роллер,deVENTE,Электроника,Пленка для ламинирования,,1538,100,2,769,769,100,0,19 из 28,44 ч,55,0,16,FBS,1.1,454,204,46,0.44,0,6.52,0,0,0 из 28,0 из 28,0,2022-12-08
"Заготовка для ламинирования ProMega Office 65х95, 250мкм 100шт/уп.",https://www.ozon.ru/product/841990283,МАРКЕР,ProMega Office,Электроника,Пленка для ламинирования,,613,Нет данных,1,613,613,100,0,28 из 28,75 ч,15,0,20,FBS,0.4,161,81,7,0.62,0,14.28,0,0,0 из 28,0 из 28,0,2023-01-20
"Заготовка для ламинирования ProMega Office А4, 80мкм матовая 100шт/уп.",https://www.ozon.ru/product/843583285,МАРКЕР,ProMega Office,Электроника,Пленка для ламинирования,,2246,Нет данных,1,2246,2246,100,0,0 из 28,28 ч,68,0,6,FBS,2.1,151,142,4,0.66,0,25,0,0,0 из 28,0 из 28,0,2023-01-23
Пленка для ламинирования Office Kit 100мкм A3 (100шт) глянцевая 303x426мм PLP10630,https://www.ozon.ru/product/846653178,Позитроника,Office Kit,Электроника,Пленка для ламинирования,,5490,196,3,1830,1390,66.6,0,28 из 28,45 ч,111,0,30,FBS,2.6,390,177,6,0.77,1.12,16.66,32.2,25.3,6 из 28,0 из 28,0,2023-01-26
"Пленка для ламинирования А7, 60 мкм, ГЕЛЕОС (80х111), 100 шт",https://www.ozon.ru/product/857714746,ГЕЛЕОС,ГЕЛЕОС,Электроника,Пленка для ламинирования,,3589,37,15,239,227,86.6,0,19 из 28,48 ч,81,1,17,FBO,0.2,4155,1242,263,0.36,0.4,6.84,9.2,44.3,4 из 28,0 из 28,0,2023-02-08
"Обложки для переплета пластиковые, Promega office, А4, 180 мкм, прозрачные, глянцевые, 100 штук в упаковке",https://www.ozon.ru/product/860553430,Комус,ProMega,Электроника,Пленка для ламинирования,,1743,-63,1,1743,1743,100,0,28 из 28,60 ч,45,0,4,FBO,1.4,1347,568,429,0.07,0,0.69,22.5,100,14 из 28,0 из 28,0,2023-02-10
"Пленка для ламинирования ProMega, 216x303 мм, А4, 60 мкм, глянцевая, 50 шт",https://www.ozon.ru/product/916934905,Комус,ProMega,Электроника,Пленка для ламинирования,Лидер по продажам,95147,-14,192,496,479,90.6,0,24 из 28,46 ч,2171,7,1,FBO,0.7,42436,29604,1576,0.45,0.84,9.96,6.6,60.9,14 из 28,0 из 28,25.1,2023-03-30
"Пленка для ламинирования ProMega, 216x303 мм, А4, 150 мкм, глянцевая, 50 шт",https://www.ozon.ru/product/916937015,Комус,ProMega,Электроника,Пленка для ламинирования,,3932,-71,3,1311,1242,100,0,0 из 28,28 ч,101,0,3,FBO,1.4,1096,550,65,0.27,0.18,6.15,0,0,5 из 28,0 из 28,0,2023-03-30
"Пленка для ламинирования ProMega, 303x426 мм, А3, 100 мкм, глянцевая, 50 шт",https://www.ozon.ru/product/916937154,Комус,ProMega,Электроника,Пленка для ламинирования,,1352,-74,1,1352,1352,Нет данных,0,0 из 28,0 ч,0,0,3,FBO,1.6,1356,500,86,0.07,0,3.48,0,0,6 из 28,0 из 28,0,2023-03-30
"Пленка для ламинирования ProMega, 216x303 мм, А4, 75 мкм, глянцевая, 50 шт",https://www.ozon.ru/product/916937165,Комус,ProMega,Электроника,Пленка для ламинирования,,9086,-74,12,757,682,91.6,0,0 из 28,28 ч,220,0,13,FBO,0.8,10170,5434,275,0.12,0.2,4.36,3.1,37.5,6 из 28,0 из 28,10.8,2023-03-30
"Пленка для ламинирования ProMega, 303x426 мм, А3, 125 мкм, глянцевая, 50 шт",https://www.ozon.ru/product/916937172,Комус,ProMega,Электроника,Пленка для ламинирования,,8924,-69,5,1785,1606,100,0,19 из 28,38 ч,239,0,3,FBO,2,1426,645,95,0.35,0.31,3.15,17.3,72,15 из 28,0 из 28,0,2023-03-30
"Пленка для ламинирования ProMega, 216x303 мм, А4, 100 мкм, глянцевая, 50 шт",https://www.ozon.ru/product/916937190,Комус,ProMega,Электроника,Пленка для ламинирования,Super,20695,-48,23,900,828,100,0,14 из 28,38 ч,505,1,352,FBO,0.7,6402,3230,222,0.36,0.12,11.26,1.2,36,7 из 28,0 из 28,1.8,2023-03-30
"Пленка для ламинирования ProMega, 216x303 мм, А4, 80 мкм, глянцевая, 50 шт",https://www.ozon.ru/product/916937195,Комус,ProMega,Электроника,Пленка для ламинирования,,8342,-13,14,596,550,81.8,0,12 из 28,37 ч,220,1,18,FBO,0.7,2712,1378,168,0.52,0.29,10.11,3.6,13.4,7 из 28,0 из 28,0,2023-03-30
"Обложки для переплета ProMega, А4, пластиковые, текстура глянцевая, 250 мкм, прозрачные, 100 шт",https://www.ozon.ru/product/916968094,Комус,ProMega,Электроника,Пленка для ламинирования,,15865,-48,9,1763,1501,100,0,19 из 28,47 ч,377,0,0,FBO,1.9,2165,873,476,0.42,0.11,3.15,17.1,72,19 из 28,0 из 28,0,2023-03-30
"Обложки для переплета ProMega, А3, пластиковые, текстура глянцевая, 200 мкм, прозрачные, 50 шт",https://www.ozon.ru/product/916968114,Комус,ProMega,Электроника,Пленка для ламинирования,Super,33582,-31,23,1460,1404,94.1,0,22 из 28,52 ч,923,1,37,FBO,1.3,7466,5356,486,0.31,0.24,4.93,17.8,89.4,22 из 28,0 из 28,6.7,2023-03-30
"Обложки для переплета ProMega, А4, пластиковые, текстура глянцевая, 180 мкм, прозрачные, 50 шт",https://www.ozon.ru/product/916968233,Комус,ProMega,Электроника,Пленка для ламинирования,Super,35932,23,60,599,568,96.5,0,17 из 28,40 ч,863,2,7,FBO,0.6,7993,3286,745,0.75,0.73,10.2,16.3,86.7,22 из 28,0 из 28,0,2023-03-30
"Обложки для переплета ProMega, А4, пластиковые, текстура глянцевая, 120 мкм, прозрачные, 100 шт",https://www.ozon.ru/product/916968241,Комус,ProMega,Электроника,Пленка для ламинирования,Super,78780,-7,110,716,664,89.1,0,19 из 28,43 ч,1945,4,129,FBO,0.9,9548,4122,886,1.15,1.38,9.7,4,47.9,16 из 28,0 из 28,0,2023-03-30
"Обложки для переплета ProMega, А4, пластиковые, текстура глянцевая, 200 мкм, прозрачные, 50 шт",https://www.ozon.ru/product/916968250,Комус,ProMega,Электроника,Пленка для ламинирования,Super,136791,138,192,712,620,88.2,0,14 из 28,37 ч,2775,6,15,FBO,0.6,121914,16834,2464,0.16,0.58,8.6,6.7,38.1,11 из 28,26 из 28,20.9,2023-03-30
"Обложки для переплета ProMega, А4, пластиковые, текстура глянцевая, 300 мкм, прозрачные, 100 шт",https://www.ozon.ru/product/916969097,Комус,ProMega,Электроника,Пленка для ламинирования,,12578,-46,7,1797,1646,57.1,0,21 из 28,78 ч,269,0,18,FBO,1.9,1761,563,340,0.4,0,3.82,0,0,1 из 28,0 из 28,0,2023-03-30
"Обложки для переплета ProMega, А4, пластиковые, текстура глянцевая, 150 мкм, прозрачные, 50 шт",https://www.ozon.ru/product/916974458,Комус,ProMega,Электроника,Пленка для ламинирования,Super,170259,25,292,583,526,90.2,0,23 из 28,39 ч,3913,10,72,FBO,1.2,47059,24593,2406,0.62,0.78,10.26,18.5,60.2,16 из 28,0 из 28,11.1,2023-03-30
"Фольга тонерочувствительная Korus S-01 металик серебро (0,213 x 120 м)",https://www.ozon.ru/product/942958552,МОнлайн,без бренда,Электроника,Пленка для ламинирования,Super,22444,718,8,2806,2744,87.5,0,24 из 28,75 ч,494,0,0,FBS,10,1395,341,67,0.57,0.87,23.88,0,0,0 из 28,0 из 28,0,2023-04-18
"Пакетная плёнка для ламинирования Bulros 65x95 мм, 125 мкм, глянцевая, 100 шт.",https://www.ozon.ru/product/967886137,1digital,Bulros,Электроника,Пленка для ламинирования,,2610,Нет данных,5,522,522,100,0,0 из 28,28 ч,72,0,50,FBS,0.2,196,154,5,2.55,0,20,0,0,12 из 28,0 из 28,0,2023-05-05
"Рулонная плёнка для ламинирования Bulros (330 мм х 150 м) 32 мкм глянцевая, втулка 25 мм, двухслойная PET12/EVA20",https://www.ozon.ru/product/969298782,1digital,Bulros,Электроника,Пленка для ламинирования,,12693,20,6,2116,2113,100,0,14 из 28,40 ч,333,0,0,FBS,2,1062,395,49,0.56,0.25,12.24,0,0,1 из 28,0 из 28,0,2023-05-06
"Рулонная плёнка для ламинирования Bulros (350 мм х 150 м) 32 мкм глянцевая, втулка 25 мм, двухслойная PET12/EVA20",https://www.ozon.ru/product/969302580,1digital,Bulros,Электроника,Пленка для ламинирования,,2007,-50,1,2007,2007,100,0,28 из 28,60 ч,47,0,48,FBS,2,722,254,32,0.14,0,6.25,3,100,17 из 28,0 из 28,0,2023-05-06
"Рулонная плёнка для одностороннего ламинирования BOPP Glossy Bulros (350 мм х 150 м) 24 мкм глянцевая, втулка 25 мм.",https://www.ozon.ru/product/976410626,1digital,Bulros,Электроника,Пленка для ламинирования,,6292,-43,4,1573,1573,75,0,23 из 28,50 ч,250,0,3,FBS,2.2,2524,675,171,0.16,0.14,4.09,0,0,2 из 28,0 из 28,0,2023-05-11
"Рулонная плёнка для одностороннего ламинирования BOPP Glossy Bulros (457 мм х 150 м) 32 мкм глянцевая, втулка 25 мм.",https://www.ozon.ru/product/978534005,1digital,Bulros,Электроника,Пленка для ламинирования,,1996,-50,1,1996,1996,100,0,28 из 28,105 ч,49,0,37,FBS,2.9,953,327,43,0.11,0,6.97,0,0,1 из 28,0 из 28,0,2023-05-12
